time,amplitude
0.0,0.0312993358717937
0.001,0.10656817620698672
0.002,0.3139952319710832
0.003,0.643366360451917
0.004,0.6649043022298614
0.005,0.7307212001086203
0.006,0.992211699149601
0.007,1.0009938229285182
0.008,1.178363793965768
0.009000000000000001,1.3189063795313547
0.01,1.4502805865341766
0.011,1.5538705383814753
0.012,1.7643994978659236
0.013000000000000001,1.7339514414799062
0.014,1.9085755512009832
0.015,1.9256201878644177
0.016,2.0389462607520437
0.017,2.2176776379994934
0.018000000000000002,2.5765224435054526
0.019,2.357655164611924
0.02,2.356315680439082
0.021,2.6513497613404797
0.022,2.2430722965820324
0.023,2.6042791593724557
0.024,2.292489607129575
0.025,2.472412770591271
0.026000000000000002,2.621287306375937
0.027,2.3198045656173654
0.028,2.4094195361399735
0.029,2.49810140970492
0.03,2.4347518693464134
0.031,2.3628443132796506
0.032,2.2717825453171705
0.033,2.3183228556185083
0.034,1.9387024478208539
0.035,2.0887037549255334
0.036000000000000004,1.9201186081491832
0.037,1.9337437589561248
0.038,1.6177541069513
0.039,1.4222612157281493
0.04,1.4283718723850949
0.041,1.2624811690337057
0.042,1.1308496931521663
0.043000000000000003,1.0343736565557085
0.044,0.9461519308587684
0.045,0.5665869369287088
0.046,0.5562571959323761
0.047,0.3087824530631552
0.048,0.26169877763805244
0.049,0.14434723740909022
0.05,-0.051111913317350655
0.051000000000000004,0.05037729160957047
0.052000000000000005,-0.24458619013966965
0.053,-0.7923008721488494
0.054,-0.7241094090377396
0.055,-0.7359285014353489
0.056,-1.0197596255713806
0.057,-0.989545751712204
0.058,-1.1819351359736918
0.059000000000000004,-1.4537111755182643
0.06,-1.3349674916987113
0.061,-1.7898605117316786
0.062,-1.570920675751376
0.063,-1.8139779466616255
0.064,-1.962849260651145
0.065,-2.067125913273355
0.066,-2.0481994448620284
0.067,-2.043104886043821
0.068,-2.2626249219233
0.069,-2.255221049319243
0.07,-2.3412990928144413
0.07100000000000001,-2.7391054340598724
0.07200000000000001,-2.5407955169528247
0.073,-2.4553401129811547
0.074,-2.4653338739307755
0.075,-2.5146342317459647
0.076,-2.4473729064878773
0.077,-2.5107330605179143
0.078,-2.3344313700290398
0.079,-2.4912392137458244
0.08,-2.470570521004495
0.081,-2.327861486679447
0.082,-2.162169806822559
0.083,-2.1834703015645593
0.084,-2.2070964962442394
0.085,-2.0590869714247986
0.08600000000000001,-1.9699897643594155
0.08700000000000001,-1.9060411255171088
0.088,-1.7260229196870303
0.089,-1.6149444027079365
0.09,-1.509363583747827
0.091,-1.1436445753827125
0.092,-1.1717115420021995
0.093,-0.8785236740035475
0.094,-1.0717660980857662
0.095,-0.8414038937174318
0.096,-0.5972725057605445
0.097,-0.39648840854880646
0.098,-0.4977960057460561
0.099,-0.08525077393218018
0.1,0.0005022212925764617
0.101,-0.08447280672230298
0.10200000000000001,0.314755888084585
0.10300000000000001,0.6640261307746558
0.10400000000000001,0.507403840222826
0.105,0.8082176552375985
0.106,0.8944905265390181
0.107,1.0539337101857726
0.108,1.1671365161015739
0.109,1.3232938595485078
0.11,1.504438227134915
0.111,1.6024335173455855
0.112,1.8049753372140607
0.113,1.899578262941284
0.114,1.8675206862393567
0.115,2.1086698686525533
0.116,2.02254461654982
0.117,2.2506703116555236
0.11800000000000001,2.224926922618413
0.11900000000000001,2.465179404633969
0.12,2.373840760344755
0.121,2.4635919569786062
0.122,2.52735480656193
0.123,2.48367235165988
0.124,2.6256068186522175
0.125,2.586428976589655
0.126,2.6016626268040786
0.127,2.327968158461566
0.128,2.4603503781668783
0.129,2.4981404619988923
0.13,2.302387713093601
0.131,2.339616395879151
0.132,2.308238380100135
0.133,2.3786984271286586
0.134,2.0744946421854142
0.135,2.083601049907168
0.136,1.8547745628237422
0.137,1.727114987601078
0.138,1.6427347581633645
0.139,1.7977158146184093
0.14,1.3188792017830901
0.14100000000000001,1.2443488221079266
0.14200000000000002,1.3119313718251855
