id,y,year,month,week_num,is_holiday,is_popular_home,is_popular_away,capa,stage_Ｊ１,stage_Ｊ２,weather_cat_Cloudy,weather_cat_Fine,weather_cat_Rain
13994,18250,2012,3,5,1,0,0,19694,True,False,False,False,True
13995,24316,2012,3,5,1,1,0,40000,True,False,False,True,False
13996,17066,2012,3,5,1,1,0,21000,True,False,False,True,False
13997,29603,2012,3,5,1,0,1,50000,True,False,False,True,False
13998,25353,2012,3,5,1,0,0,39232,True,False,False,True,False
13999,11283,2012,3,5,1,0,0,24490,True,False,False,True,False
14000,18920,2012,3,5,1,0,0,26530,True,False,True,False,False
14001,11437,2012,3,5,1,0,0,15600,True,False,True,False,False
14002,13082,2012,3,6,1,0,1,15349,True,False,False,True,False
14004,41069,2012,3,5,1,1,0,63700,True,False,True,False,False
14005,19488,2012,3,5,1,1,0,72327,True,False,False,False,True
14006,26294,2012,3,5,1,0,0,42300,True,False,False,False,True
14007,30764,2012,3,5,1,0,1,47816,True,False,True,False,False
14008,13231,2012,3,5,1,0,0,20281,True,False,False,False,True
14009,10653,2012,3,5,1,0,0,15165,True,False,False,False,True
14010,14036,2012,3,5,1,0,0,30132,True,False,False,True,False
14011,21757,2012,3,5,1,0,1,49970,True,False,True,False,False
14012,11831,2012,3,5,1,0,0,19694,True,False,True,False,False
14013,14349,2012,3,5,1,0,0,50000,True,False,False,True,False
14014,14777,2012,3,5,1,0,0,26530,True,False,True,False,False
14015,11839,2012,3,5,1,0,0,30132,True,False,False,True,False
14016,10611,2012,3,5,1,0,1,24490,True,False,False,True,False
14017,20192,2012,3,5,1,0,1,39232,True,False,False,True,False
14018,12209,2012,3,5,1,0,0,15349,True,False,False,True,False
14019,10603,2012,3,6,1,1,0,20000,True,False,False,True,False
14021,7936,2012,3,5,1,0,1,15600,True,False,True,False,False
14022,16229,2012,3,5,1,0,0,49970,True,False,False,False,True
14024,9042,2012,3,5,1,0,0,15165,True,False,False,True,False
14025,9598,2012,3,5,1,0,0,19628,True,False,False,True,False
14026,16836,2012,3,5,1,0,1,42300,True,False,False,False,True
14027,14216,2012,3,5,1,0,0,20281,True,False,False,True,False
14028,22126,2012,3,5,1,1,0,72327,True,False,True,False,False
14029,7719,2012,3,5,1,0,0,24490,True,False,False,True,False
